2017-06-20 17:57:20,968 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-20 17:57:20,974 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\quent_000\BoulderDash\BoulderDash-BaseProject\BoulderDash\view\src\test\resources
2017-06-20 17:57:21,064 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-20 17:57:21,073 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\quent_000\BoulderDash\BoulderDash-BaseProject\BoulderDash\main\src\main\resources
2017-06-20 17:57:21,076 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-20 17:57:21,084 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\quent_000\BoulderDash\BoulderDash-BaseProject\BoulderDash\main\src\test\resources
2017-06-20 18:00:17,923 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-20 18:00:17,929 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\quent_000\BoulderDash\BoulderDash-BaseProject\BoulderDash\model\src\main\resources
2017-06-20 18:00:17,937 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-20 18:00:17,942 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\quent_000\BoulderDash\BoulderDash-BaseProject\BoulderDash\model\src\test\resources
2017-06-20 18:00:38,982 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-20 18:00:38,988 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\quent_000\BoulderDash\BoulderDash-BaseProject\BoulderDash\model\src\main\resources
2017-06-20 18:00:38,996 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-20 18:00:39,006 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\quent_000\BoulderDash\BoulderDash-BaseProject\BoulderDash\model\src\test\resources
